Table 1
group_Nr;M;A;FU;H;I;SU;N;S;C;L;D;P;MF;CP;Nr_of_Factor;ID;Tube.ID;Tea_bag_Nr;Decom;pH;WSA;;;;;;;
147;1;1;1;1;1;0;1;1;0;0;0;1;0;0;8;147;32;261;0,7153382451;5,89;0,47;;;;;;;
148;1;1;0;1;1;0;0;0;0;1;1;1;0;1;8;148;175;139;0,6402398401;5,36;0,53;;;;;;;
149;1;1;1;0;0;1;1;0;0;1;1;1;0;0;8;149;11;284;0,7103861518;5,63;0,63;;;;;;;
150;1;0;0;1;0;1;1;0;1;1;1;0;1;0;8;150;129;138;0,6440564137;5,3;0,72;;;;;;;
151;1;1;1;1;0;0;1;1;1;0;1;1;0;0;9;151;1;214;0,6025384102;5,48;0,59;;;;;;;
152;1;1;1;1;1;1;0;1;0;1;0;0;0;1;9;152;275;226;0,6877098724;6,03;0,40;;;;;;;
153;0;1;1;0;1;1;1;0;0;1;0;1;1;1;9;153;241;246;0,7243440717;5,57;0,64;;;;;;;
154;1;1;1;1;1;1;1;0;0;0;1;1;0;0;9;154;332;193;0,6390728477;5,5;0,59;;;;;;;
155;1;0;1;0;1;0;1;1;1;1;1;1;0;0;9;155;236;105;0,5660948537;5,73;0,55;;;;;;;
156;0;1;1;0;1;1;1;1;1;0;0;0;1;1;9;156;174;73;0,6522902039;5,93;0,38;;;;;;;
157;1;1;1;1;0;1;0;0;1;1;1;1;0;0;9;157;336;233;0,6795727637;5,42;0,63;;;;;;;
158;1;1;0;0;0;1;0;1;1;1;1;1;0;1;9;158;285;150;0,6734421859;5,58;0,51;;;;;;;
159;1;1;1;0;0;0;0;1;1;1;0;1;1;1;9;159;280;266;0,6949379819;5,89;0,61;;;;;;;
160;1;1;1;0;1;0;1;1;1;0;0;0;1;1;9;160;166;354;0,6238348868;5,94;0,74;;;;;;;
161;1;1;1;1;1;0;0;0;0;1;1;1;0;1;9;161;212;182;0,7191939214;5,37;0,70;;;;;;;
162;1;0;1;0;1;1;0;1;1;1;0;0;1;1;9;162;55;123;0,3885011632;5,53;0,62;;;;;;;
163;0;1;1;0;0;1;1;0;1;1;1;1;1;0;9;163;351;50;0,6723503845;5,55;0,51;;;;;;;
164;0;1;0;0;1;1;0;1;1;1;1;1;1;0;9;164;137;271;0,8014804845;5,5;0,72;;;;;;;
165;1;1;1;1;0;0;1;0;1;0;1;1;0;1;9;165;325;45;0,6592048112;5,52;0,68;;;;;;;
166;1;1;0;0;1;1;0;1;1;1;0;1;0;1;9;166;263;93;0,6448911223;5,85;0,45;;;;;;;
167;1;0;1;0;1;1;1;1;0;0;1;1;0;1;9;167;284;104;0,6223915204;5,76;0,69;;;;;;;
168;1;1;1;0;0;1;1;1;1;0;1;0;1;0;9;168;222;231;0,6259185037;5,79;0,47;;;;;;;
169;1;0;1;1;0;0;1;1;0;1;1;1;0;1;9;169;226;309;0,660402242;5,62;0,65;;;;;;;
170;1;1;1;1;0;1;1;1;0;1;1;0;0;0;9;170;38;315;0,6061932009;5,63;0,51;;;;;;;
171;1;0;1;1;1;0;1;1;1;0;1;1;0;0;9;171;207;128;0,614873838;5,68;0,48;;;;;;;
172;0;1;1;0;1;1;1;0;1;1;1;0;0;1;9;172;70;13;0,6261991399;5,51;0,55;;;;;;;
173;1;1;0;1;1;1;0;0;1;1;1;0;0;1;9;173;271;102;0,620758483;5,53;0,59;;;;;;;
174;0;1;1;1;0;1;1;1;0;1;1;1;0;0;9;174;343;254;0,6306068602;5,72;0,58;;;;;;;
175;1;1;0;1;0;0;1;0;1;1;1;1;1;0;9;175;107;177;0,675066313;5,22;0,53;;;;;;;
176;1;1;1;0;1;1;1;1;1;0;1;0;0;0;9;176;348;63;0,6675444371;5,72;0,49;;;;;;;
177;0;1;1;0;1;1;1;1;0;1;0;0;1;1;9;177;56;31;0,6455097907;6,16;0,61;;;;;;;
178;1;1;0;0;1;0;1;1;1;0;1;0;1;1;9;178;306;161;0,6362433862;5,79;0,52;;;;;;;
179;1;1;0;1;1;1;0;1;0;0;1;1;1;0;9;179;37;250;0,5861148198;5,69;0,59;;;;;;;
180;1;1;0;0;1;1;1;1;1;0;1;1;0;0;9;180;353;78;0,6273087071;5,68;0,68;;;;;;;
181;1;1;1;1;1;1;0;1;0;0;0;1;1;0;9;181;142;259;0,7001647446;5,74;0,53;;;;;;;
